"SQL Editor","Next query","Alt+Down","SQL Editor Context"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"Result Set","Next row","Ctrl+Right","In Windows"
"View","Zoom In","Ctrl++","In Windows"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Views","Show View (Error Log)","Shift+Alt+Q L","In Windows"
"SQL Editor","Toggle Line Comment","Ctrl+/","SQL Editor Context"
"Window","Previous Editor","Shift+Ctrl+F6","In Windows"
"Result Set","Reject changes","Ctrl+Alt+R","Results viewer context"
"Text Editing","Select Line Start","Shift+Home","Editing Text"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows"
"File","Print","Ctrl+P","In Windows"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Navigate","Collapse All","Shift+Ctrl+Numpad_Divide","In Windows"
"Result Set","First row","Shift+Ctrl+Left","In Windows"
"Window","Show Key Assist","Shift+Ctrl+L","In Dialogs and Windows"
"Window","Toggle Full Screen","Alt+F11","In Windows"
"Navigate","Next","Ctrl+.","In Windows"
"File","Properties","Alt+Enter","In Windows"
"Connection","New SQL Editor","Ctrl+T","In Windows"
"Navigate","Open Resource","Shift+Ctrl+R","In Windows"
"Window","Previous View","Shift+Ctrl+F7","In Windows"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"Navigate","Expand All","Shift+Ctrl+Numpad_Multiply","In Windows"
"SQL Editor","Select row count","Ctrl+Alt+C","SQL Editor Context"
"Text Editing","Text Start","Ctrl+Home","Editing Text"
"Text Editing","Move Lines Up","Shift+Ctrl+Up","SQL Editor Context"
"SQL Editor","Switch active panel","Alt+F6","SQL Editor Context"
"Text Editing","Zoom In","Ctrl++","Editing Text"
"Oracle","Compile","Ctrl+F9","In Windows"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"Edit","Context Information","Shift+Ctrl+Space","In Dialogs and Windows"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"Text Editing","Reset Structure","Shift+Ctrl+Numpad_Multiply","Editing Text"
"Result Set","Fetch Next Page","Ctrl+Alt+PageDown","In Windows"
"File","New menu","Shift+Alt+N","In Windows"
"Window","Quick Access","Ctrl+3","In Windows"
"Views","Show View","Shift+Alt+Q Q","In Windows"
"File","New","Ctrl+N","In Windows"
"Edit","Context Information","Ctrl+Alt+Space","SQL Editor Context"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"Result Set","Toggle Grid/Record view","Tab","Results viewer context"
"Result Set","Navigate link","Alt+Space","Results viewer context"
"View","Zoom In","Ctrl+=","In Windows"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"Text Editing","Insert Line Above Current Line","Shift+Ctrl+Enter","Editing Text"
"Edit","Word Completion","Shift+Ctrl+Space","SQL Editor Context"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"Result Set","Reset cell changes","Esc","Results viewer context"
"Text Editing","To Upper Case","Shift+Ctrl+X","Editing Text"
"Navigate","Previous","Ctrl+,","In Windows"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"Text Editing","To Upper Case","Shift+Ctrl+U","SQL Editor Context"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text"
"Views","Show View (Problems)","Shift+Alt+Q X","In Windows"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text"
"Views","Show View (Search)","Shift+Alt+Q S","In Windows"
"Edit","Select All","Ctrl+A","In Dialogs and Windows"
"Navigate","Next Page","Alt+F7","In Windows"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"SQL Editor","Maximize results panel","Shift+F6","SQL Editor Context"
"Connection","SQL Editor","F3","In Windows"
"Navigate","Forward History","Alt+Right","In Windows"
"Result Set","Apply changes","Ctrl+Alt+S","Results viewer context"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"SQL Editor","Execute SQL in new tab","Ctrl+\","SQL Editor Context"
"SQL Editor","Show server output","Ctrl+Alt+O","SQL Editor Context"
"Result Set","Switch presentation","Ctrl+`","Results viewer context"
"SQL Editor","Execute SQL Statement","Ctrl+Enter","SQL Editor Context"
"Window","Next View","Ctrl+F7","In Windows"
"File","Rename","F2","In Windows"
"Window","Previous Perspective","Shift+Ctrl+F8","In Windows"
"Edit","Word Completion","Alt+/","Editing Text"
"Result Set","Fetch All Data","Ctrl+Alt+End","In Windows"
"Window","Show Contributing Plug-in","Shift+Alt+F3","In Dialogs and Windows"
"SQL Editor","Open Declaration","F4","SQL Editor Context"
"Text Editing","Delete to End of Line","Shift+Ctrl+Delete","Editing Text"
"Edit","Quick Diff Toggle","Shift+Ctrl+Q","Editing Text"
"Text Editing","Join Lines","Shift+Ctrl+J","SQL Editor Context"
"Window","Quick Switch Editor","Ctrl+E","In Windows"
"Edit","Delete","Delete","In Windows"
"Edit","Toggle Insert Mode","Shift+Ctrl+Insert","Editing Text"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text"
"Help","Show Contextual Help","F1","In Windows"
"Result Set","Toggle result panels","F7","Results viewer context"
"View","Zoom Out","Ctrl+-","In Windows"
"SQL Editor","Previous query","Alt+Up","SQL Editor Context"
"Navigate","Last Edit Location","Ctrl+Q","In Windows"
"Navigate","Show In...","Shift+Alt+W","In Windows"
"File","Close","Ctrl+F4","In Windows"
"Text Editing","Select Next Word","Shift+Ctrl+Right","Editing Text"
"Edit","Find Next","Ctrl+K","Editing Text"
"Edit","Find Previous","Shift+Ctrl+K","Editing Text"
"Project","Build All","Ctrl+B","In Windows"
"Window","Next Editor","Ctrl+F6","In Windows"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"Text Editing","Select Previous Word","Shift+Ctrl+Left","Editing Text"
"Edit","Toggle Block Selection","Shift+Alt+A","Editing Text"
"Edit","Paste","Shift+Insert","In Dialogs and Windows"
"SQL Editor","Set connection from navigator","Shift+Ctrl+.","In Windows"
"SQL Editor","Execute SQL Script","Alt+Enter","SQL Editor Context"
"SQL Editor","Rename SQL Script","Ctrl+F2","SQL Editor Context"
"Result Set","Inline edit","Enter","Results viewer context"
"Result Set","Edit cell","Shift+Enter","In Windows"
"SQL Editor","Execute Statements In Separate Tabs","Ctrl+Alt+X","SQL Editor Context"
"Edit","Content Assist","Ctrl+Space","SQL Editor Context"
"Result Set","Delete current row","Alt+Delete","Results viewer context"
"SQL Editor","Toggle Word Wrap","Ctrl+Alt+E","SQL Editor Context"
"Edit","Paste","Ctrl+V","In Dialogs and Windows"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text"
"Utility","Advanced Copy","Shift+Ctrl+C","In Windows"
"File","Close","Ctrl+W","In Windows"
"Result Set","Activate filter/data editor","Shift+Ctrl+F","Results viewer context"
"Window","Toggle Split Editor (Horizontal)","Ctrl+_","In Windows"
"Text Editing","Line End","End","Editing Text"
"Connection","Context tools","Alt+`","In Windows"
"File","Close All","Shift+Ctrl+W","In Windows"
"Result Set","Duplicate row","Ctrl+Alt+Insert","Results viewer context"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text"
"Text Editing","To Lower Case","Shift+Ctrl+L","SQL Editor Context"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"Edit","Find and Replace","Ctrl+F","In Windows"
"Connection","Edit Object","F4","Database navigator context"
"Utility","Advanced Paste","Shift+Ctrl+V","In Windows"
"Text Editing","Zoom Out","Ctrl+-","Editing Text"
"SQL Editor","Export From Query","Shift+Ctrl+E","SQL Editor Context"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"Result Set","Last row","Shift+Ctrl+Right","In Windows"
"Text Editing","Move Lines Down","Shift+Ctrl+Down","SQL Editor Context"
"Window","Show System Menu","Alt+-","In Windows"
"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"SQL Editor","Content Format","Ctrl+J","In Windows"
"Text Editing","Zoom In","Ctrl+=","Editing Text"
"Edit","Redo","Shift+Ctrl+Z","In Dialogs and Windows"
"Text Editing","Copy Lines","Ctrl+Alt+Down","Editing Text"
"Connection","Recent SQL Editor","Ctrl+Enter","In Windows"
"Connection","Commit","Shift+Ctrl+Alt+C","In Windows"
"Window","Toggle Split Editor (Vertical)","Ctrl+{","In Windows"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"Views","Show View (History)","Shift+Alt+Q Z","In Windows"
"Navigate","Previous Page","Shift+Alt+F7","In Windows"
"Views","Show View (Outline)","Shift+Alt+Q O","In Windows"
"SQL Editor","Show execution log","Ctrl+Alt+P","SQL Editor Context"
"Database Navigator","Add Bookmark","Ctrl+D","In Windows"
"Result Set","Filter menu","F11","Results viewer context"
"Result Set","Previous row","Ctrl+Left","In Windows"
"File","Refresh","F5","In Windows"
"Result Set","Save cell value","Shift+Ctrl+Alt+Enter","Results edit context"
"Navigate","Go to Line","Ctrl+G","In Windows"
"Connection","Rollback","Shift+Ctrl+Alt+R","In Windows"
"Text Editing","Delete Line","Ctrl+D","Editing Text"
"SQL Editor","Load SQL script","Ctrl+O","SQL Editor Context"
"Text Editing","Select Line End","Shift+End","Editing Text"
"Text Editing","To Lower Case","Shift+Ctrl+Y","Editing Text"
"Text Editing","Collapse All","Shift+Ctrl+Numpad_Divide","Editing Text"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Result Set","Add row","Alt+Insert","Results viewer context"
"File","Save All","Shift+Ctrl+S","In Windows"
"Text Editing","Move Lines Down","Alt+Down","Editing Text"
"Database Navigator","Link with editor","Shift+Ctrl+,","In Windows"
"Edit","Toggle Word Wrap","Shift+Alt+Y","Editing Text"
"Navigate","Backward History","Alt+Left","In Windows"
"Views","Show View (Synchronize)","Shift+Alt+Q Y","In Windows"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Edit","Incremental Find","Ctrl+J","Editing Text"
"SQL Editor","Close tab","Shift+Ctrl+\","SQL Editor Context"
"SQL Editor","Toggle results panel","F6","SQL Editor Context"
"Navigate","Go to Line","Ctrl+L","Editing Text"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text"
"Edit","Incremental Find Reverse","Shift+Ctrl+J","Editing Text"
"Text Editing","Text End","Ctrl+End","Editing Text"
"Text Editing","Line Start","Home","Editing Text"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text"
"File","Close All","Shift+Ctrl+F4","In Windows"
"SQL Editor","Evaluate SQL expression","Ctrl+Alt+'","SQL Editor Context"
"Connection","Open Database Object ...","Shift+Ctrl+D","In Windows"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"Window","Activate Editor","F12","In Windows"
"SQL Editor","Toggle Block Comment","Shift+Ctrl+/","SQL Editor Context"
"File","Save","Ctrl+S","In Windows"
